File created automatically by script spectrum_reduce.py on 2020-21-18T20:01:58Z
Wav(um) Flux(10W/m/cm2) Error(W/m2)
1.9700e+00 3.0681e-04 1.2347e-03
1.9703e+00 2.7818e-03 9.9562e-04
1.9705e+00 3.4002e-04 7.6044e-04
1.9708e+00 1.7600e-04 1.1015e-03
1.9711e+00 2.5840e-04 1.2397e-03
1.9713e+00 -2.3254e-05 1.0904e-03
1.9716e+00 1.2162e-04 1.1147e-03
1.9719e+00 -6.1999e-06 1.8233e-03
1.9721e+00 1.1371e-04 8.5422e-04
1.9724e+00 2.7288e-04 8.3236e-04
1.9726e+00 1.9406e-04 5.7610e-04
1.9729e+00 1.3247e-04 5.6328e-04
1.9732e+00 5.5087e-05 5.7916e-04
1.9734e+00 1.5096e-04 4.9262e-04
1.9737e+00 2.1207e-04 5.2747e-04
1.9740e+00 7.5045e-04 6.1625e-04
1.9742e+00 6.2545e-04 1.1736e-03
1.9745e+00 1.9488e-04 5.4477e-04
1.9748e+00 2.3125e-04 4.2484e-04
1.9750e+00 1.3020e-04 3.5832e-04
1.9753e+00 1.9717e-04 3.9670e-04
1.9756e+00 1.6160e-04 4.9303e-04
1.9758e+00 2.0815e-04 3.9936e-04
1.9761e+00 6.2505e-05 3.8744e-04
1.9763e+00 1.4599e-04 3.2396e-04
1.9766e+00 1.6677e-04 2.8926e-04
1.9769e+00 2.1671e-04 2.7835e-04
1.9771e+00 2.2736e-04 3.1125e-04
1.9774e+00 2.2125e-04 2.7814e-04
1.9777e+00 2.3460e-04 2.8746e-04
1.9779e+00 1.6572e-04 2.7010e-04
1.9782e+00 1.8179e-04 2.5123e-04
1.9785e+00 1.5894e-04 3.7640e-04
1.9787e+00 2.1960e-04 2.4121e-04
1.9790e+00 1.5236e-04 2.7381e-04
1.9793e+00 1.5319e-04 2.3255e-04
1.9795e+00 2.5536e-04 2.5471e-04
1.9798e+00 1.2379e-04 3.9250e-04
1.9800e+00 8.9401e-05 3.6809e-04
1.9803e+00 2.5717e-04 3.0058e-04
1.9806e+00 2.1662e-04 3.1357e-04
1.9808e+00 2.2258e-04 2.3929e-04
1.9811e+00 1.9801e-04 1.9027e-04
1.9814e+00 2.9405e-04 2.3838e-04
1.9816e+00 2.1510e-04 1.8839e-04
1.9819e+00 1.7544e-04 1.8960e-04
1.9822e+00 2.3341e-04 1.8064e-04
1.9824e+00 2.3586e-04 1.7999e-04
1.9827e+00 1.8374e-04 1.9106e-04
1.9830e+00 1.9547e-04 2.3409e-04
1.9832e+00 2.6684e-04 2.0073e-04
1.9835e+00 1.9476e-04 2.0732e-04
1.9837e+00 1.6584e-04 2.0277e-04
1.9840e+00 1.5547e-04 1.9344e-04
1.9843e+00 2.0888e-04 1.7314e-04
1.9845e+00 1.8280e-04 1.6332e-04
1.9848e+00 2.0041e-04 1.7135e-04
1.9851e+00 1.4564e-04 3.0031e-04
1.9853e+00 1.0885e-04 1.8480e-04
1.9856e+00 1.8589e-04 1.7027e-04
1.9859e+00 1.7723e-04 1.5365e-04
1.9861e+00 1.9850e-04 1.5159e-04
1.9864e+00 2.0492e-04 1.4898e-04
1.9867e+00 2.8780e-04 2.9033e-04
1.9869e+00 2.8232e-04 2.6368e-04
1.9872e+00 2.9923e-04 2.5187e-04
1.9874e+00 2.1807e-04 1.7725e-04
1.9877e+00 1.4131e-04 1.7427e-04
1.9880e+00 2.0183e-04 1.5385e-04
1.9882e+00 2.3567e-04 1.5489e-04
1.9885e+00 1.9772e-04 1.5318e-04
1.9888e+00 1.9354e-04 1.5365e-04
1.9890e+00 2.2656e-04 3.0770e-04
1.9893e+00 2.3671e-04 1.6541e-04
1.9896e+00 2.0687e-04 1.5797e-04
1.9898e+00 2.1434e-04 1.7841e-04
1.9901e+00 1.0398e-04 2.2847e-04
1.9904e+00 1.5582e-04 2.0913e-04
1.9906e+00 1.8839e-04 1.8462e-04
1.9909e+00 1.8016e-04 1.7742e-04
1.9911e+00 2.2433e-04 1.4987e-04
