File created automatically by script ./spectrum_reduce.py on 2020-21-28T09:01:39Z
Wav(um) Flux(10W/m/cm2) Error(W/m2)
1.9700e+00 1.5600e-04 3.3012e-04
1.9722e+00 1.6898e-04 2.4075e-04
1.9744e+00 1.5471e-04 1.6612e-04
1.9766e+00 1.4477e-04 1.1821e-04
1.9788e+00 1.5786e-04 9.9077e-05
1.9810e+00 1.8627e-04 8.3448e-05
1.9832e+00 1.7341e-04 7.0551e-05
1.9854e+00 1.7497e-04 6.9144e-05
1.9876e+00 1.7622e-04 6.6320e-05
1.9898e+00 1.8252e-04 6.3679e-05
1.9920e+00 1.8873e-04 6.1065e-05
1.9942e+00 1.9739e-04 6.2565e-05
1.9964e+00 2.1366e-04 7.2817e-05
1.9986e+00 2.3893e-04 9.3731e-05
2.0008e+00 3.0038e-04 1.3851e-04
2.0030e+00 2.3892e-04 1.8520e-04
2.0052e+00 1.4808e-04 1.8865e-04
2.0074e+00 1.1581e-04 1.4349e-04
2.0096e+00 2.0255e-04 1.2081e-04
2.0118e+00 2.7119e-04 1.3122e-04
2.0140e+00 1.7672e-04 1.3233e-04
2.0162e+00 1.8278e-04 1.2693e-04
2.0184e+00 1.8701e-04 1.1011e-04
2.0206e+00 2.2600e-04 8.9871e-05
2.0228e+00 2.2392e-04 7.9096e-05
2.0250e+00 2.1067e-04 6.9257e-05
2.0272e+00 2.0849e-04 6.4537e-05
2.0294e+00 2.2149e-04 6.2522e-05
2.0316e+00 2.0817e-04 5.9633e-05
2.0338e+00 2.3398e-04 5.7257e-05
2.0359e+00 2.3195e-04 5.8817e-05
2.0381e+00 2.1017e-04 5.8989e-05
2.0403e+00 2.1549e-04 5.9344e-05
2.0425e+00 2.2876e-04 6.2108e-05
2.0447e+00 2.3482e-04 6.5178e-05
2.0469e+00 2.2173e-04 6.6831e-05
2.0491e+00 2.3199e-04 7.7984e-05
2.0513e+00 2.4599e-04 8.2143e-05
2.0535e+00 2.1568e-04 9.1135e-05
2.0557e+00 1.8213e-04 9.1293e-05
2.0579e+00 1.8654e-04 8.2464e-05
2.0601e+00 2.3043e-04 7.5438e-05
2.0623e+00 2.1969e-04 7.5749e-05
2.0645e+00 2.3835e-04 8.5905e-05
2.0667e+00 2.2153e-04 8.1536e-05
2.0689e+00 2.3304e-04 8.2068e-05
